34rfYWhENI,hxCPNNK8vb,3,1,1
i0FbNhdD4v,zmBrolXRio,4,1,1
bVQBhBKLmu,Y0Y8buE8vo,4,1,1
7dRg1lN4aF,JzvIdKdE9f,5,1,0
yOHXFK8Ek6,WxA3VQMmxp,3,0,0
bTNpLIcY5K,SxFYhk3Xn4,3,0,1
xH8TrfHOyw,dHZE0pUoLE,4,0,1
A0fZY06JEo,wPosOtvkxv,3,1,0
s5xQyIFNnz,dCGLunmCyc,5,0,1
uMX873fyNO,M8LeH13TWO,5,0,0
XKzRPPL1ed,PDzTdzpkLW,4,0,0
k32rQUVZbK,D63yXxSifw,5,0,0
hj3cGvpiOt,1IemqAoqLk,3,0,1
3REe97dI6I,feHZaFXQ9f,3,1,1
KmVPha8UAM,E5xo5uBrzD,4,0,1
EA5DKGjFuJ,52CLg2zVKj,3,0,0
FcoCKZReNO,O3fngJjYL4,4,0,0
pXB7QmLlRf,kzJsNOPWDj,3,0,1
Rb5MdRRbZp,DYLEUl8hqR,5,1,0
CHGrAEBEJ9,R10YuuGqWH,5,1,0
ARzY7IxSTK,2O8vTBpTSp,4,1,1
Dvs3WG41cN,zGY5pGMyOr,3,1,0
MXvu57RdQh,nY6KKoISmQ,5,1,1
LZbcFexDwT,DqPWFuFsA9,4,1,0
qAFvg04zFf,xUgtJjVX7v,3,0,0
6CqRygxOrx,RPQPzfsNBN,5,1,0
XCE2SvYNQL,Qp3AiGFhUp,3,1,0
FxSGG0aVXI,TtJQcnT2V7,4,1,0
mvVqEj4gF4,IYk4Tjnd87,5,1,1
L1VQbGRC9K,9IARHd2No6,4,1,1
gpBq8rHPNs,TBFggdE1QF,5,1,0
DHjSIHVuB3,LBZt6AVaD4,4,1,1
TOlhgKw6dh,ys1yHAvbiq,3,0,0
mcV4dlQ2BM,FhgEWDmxY6,5,1,0
6apEde5YAW,hsIfYiuX5J,5,1,1
U7MaLzWV7i,AeIw3hvCyI,3,1,1
h3oXQdTOsZ,vgyB9sUrOv,5,0,0
uX1wRxyvKH,76Z5T6FLjM,4,1,1
cpkCqv5MPO,MIKrm8r3JT,5,1,1
TiW8b2reOx,hl5DPYgzY0,4,1,0
jXU9MdZE38,f9NGwCrqKE,3,1,1
n1zK0wRGHt,UrLzfDipCD,3,1,1
